agency,expenses,year
Department of Housing and Urban Development,1.8,2013
Department of Housing and Urban Development,1.55,2014
Department of Housing and Urban Development,1.8,2014
Department of Housing and Urban Development,0.9,2013
Department of Housing and Urban Development,1.35,2014
Department of Housing and Urban Development,1.650001,2013
Department of Housing and Urban Development,2.587,2013
Department of Housing and Urban Development,1.6,2014
Department of Housing and Urban Development,0.77,2012
Department of Housing and Urban Development,1,2013
Department of Housing and Urban Development,0.25,2012
Department of Housing and Urban Development,0.665,2014
Department of Housing and Urban Development,29.5,2011
Department of Housing and Urban Development,0.700584,2013
Department of Housing and Urban Development,0.4,2013
Department of Housing and Urban Development,0.65,2013
Department of Housing and Urban Development,9.8025,2014
Department of Housing and Urban Development,0.666005,2014
Department of Housing and Urban Development,3.200003,2013
Department of Housing and Urban Development,2.066002,2013
Department of Housing and Urban Development,0.666004,2013
Department of Housing and Urban Development,0.504657,2013
Department of Housing and Urban Development,0.472,2014
Department of Housing and Urban Development,1.4,2013
Department of Housing and Urban Development,2.25,2011
Department of Housing and Urban Development,1.25,2014
Department of Housing and Urban Development,0.8,2014
Department of Housing and Urban Development,0.8,2014
Department of Housing and Urban Development,1.25,2015
Department of Housing and Urban Development,3.021108,2013
Department of Housing and Urban Development,3.154476,2013
Department of Housing and Urban Development,0.4,2013
Department of Housing and Urban Development,0.8005,2013
Department of Housing and Urban Development,2.037212,2013
Department of the Interior,0.2001,2012
Department of the Interior,0.087,2012
Department of the Interior,0.087,2013
Department of the Interior,1.061,2011
Department of the Interior,2,2012
Department of the Interior,1.3,2012
Department of the Interior,0.35,2013
Department of the Interior,1.5,2013
Department of the Interior,1.4,2014
Department of the Interior,0.1,2014
Department of the Interior,0.823,2010
Department of the Interior,20.201,2010
Department of the Interior,19.553497,2009
Department of the Interior,7.83,2011
Department of the Interior,7.6,2012
Department of the Interior,7.6,2013
Department of the Interior,7.6,2014
Department of the Interior,4.654,2012
Department of the Interior,0.175,2012
Department of the Interior,4.654,2011
Department of the Interior,0.175,2011
Department of the Interior,4.654,2013
Department of the Interior,0.175,2013
Department of the Interior,2878.879,2011
Department of the Interior,6328.517,2012
Department of the Interior,53.264,2013
Department of the Interior,41.09,2014
Department of the Interior,2.045,2010
Department of the Interior,1.22,2010
Department of the Interior,0.436141,2011
Department of the Interior,0.38,2012
Department of the Interior,31.965872,2008
Department of the Interior,0.23,2013
Department of the Interior,0.02,2013
Department of the Interior,0.015,2013
Department of the Interior,1.85,2012
Department of the Interior,2.2,2012
Department of the Interior,36.057,2010
Department of the Interior,12.547182,2012
Department of the Interior,1.2,2012
Department of the Interior,21.944,2012
Department of the Interior,80.331096,2012
Department of the Interior,16.54842,2012
Department of the Interior,7.112,2011
Department of the Interior,24.151191,2012
Department of the Interior,52.597902,2012
Department of the Interior,70.06221,2012
Department of Justice,851.145712,2002
Department of Justice,48.421,2010
Department of Justice,18.184864,2010
Department of Justice,0.747266,2013
Department of Justice,5.902,2010
Department of Justice,26.428,2011
Department of Justice,21.575,2012
Department of Justice,14.75,2013
Department of Justice,14.75,2014
Department of Justice,16.278,2012
Department of Justice,6.12,2012
Department of Justice,1.884,2013
Department of Justice,1.771,2013
Department of Justice,1.772,2013
Department of Justice,1.773,2014
Department of Justice,2.512,2013
Department of Justice,15.675,2012
Department of Justice,7.942,2013
Department of Justice,1.5,2013
Department of Justice,27.25257,2011
Department of Justice,10.872,2012
Department of Justice,32.6383,2012
Department of Justice,4.128,2011
Department of Justice,2.811,2012
Department of Justice,3.259,2012
Department of Justice,3.259,2013
Department of Justice,3.307,2012
Department of Justice,1.654,2012
Department of Justice,2.505,2012
Department of Justice,2.467,2013
Department of Justice,2.467,2013
Department of Justice,1.678,2012
Department of Justice,1.645,2013
Department of Justice,1.416,2013
Department of Justice,2.467,2014
Department of Justice,1.645,2013
Department of Justice,2.467,2014
Department of Justice,1.645,2014
Department of Justice,2.467,2014
Department of Justice,1.645,2014
Department of Justice,2.141,2013
Department of Justice,1.428,2013
Department of Justice,2.141,2014
Department of Justice,1.428,2014
Department of Justice,2.141,2014
Department of Justice,1.428,2014
Department of Justice,0.839,2013
Department of Justice,1.439,2013
Department of Justice,8.904,2012
Department of Justice,2.858,2013
Department of Justice,6.85,2012
Department of Justice,6.35,2013
Department of Justice,11.13,2013
Department of Justice,1.61,2011
Department of Justice,8.04,2012
Department of Justice,4,2012
Department of Justice,1.425,2012
Department of Justice,0.320252,2013
Department of Justice,4.845,2010
Department of Justice,6.155,2010
Department of Justice,3.889,2013
Department of Justice,1120.98,2008
Department of Justice,0.870788,2012
Department of Justice,0.5576,2012
Department of Labor,6.402,2011
Department of Labor,0.674,2011
Department of Labor,3.132,2011
Department of Labor,1.572,2012
Department of Labor,0.568,2012
Department of Labor,0.212,2012
Department of Labor,0.331,2012
Department of Labor,0.664,2012
Department of Labor,3.132,2011
Department of Labor,3.132,2011
Department of Labor,1.566,2011
Department of Labor,0.518,2013
Department of Labor,0.534,2014
Department of Labor,1.967,2014
Department of Labor,0.665,2013
Department of Labor,3.212,2014
Department of Labor,0.207,2014
Department of Labor,0.336,2012
Department of Labor,0.462,2012
Department of Labor,1.046,2013
Department of Labor,3.495,2011
Department of Labor,0.41,2013
Department of Labor,0.3,2014
Department of Labor,0.735,2012
Department of Labor,0.756,2013
Department of Labor,0.587886,2011
Department of Labor,0.606,2012
Department of Labor,0.771768,2014
Department of Labor,0.5,2013
Department of Labor,0.239098,2013
Department of Labor,0.064572,2013
Department of Labor,0.180626,2013
Department of Labor,0.1411,2013
Department of Labor,0.260251,2012
Department of Labor,0.15,2011
Department of Labor,0.27,2012
Department of Labor,0.24,2013
Department of Labor,0.21608,2011
Department of Labor,0.14856,2012
Department of Labor,0.20776,2012
Department of Labor,0.30504,2012
Department of Labor,0.30848,2012
Department of Labor,0.28918,2012
Department of Labor,0.11,2012
Department of Labor,0.0924,2012
Department of Labor,0.0725,2012
Department of Labor,0.13,2013
Department of Labor,0.12,2013
Department of Labor,1.4,2013
Department of Labor,0.55,2013
Department of Labor,0.161,2011
Department of Labor,1.142,2012
Department of Labor,1.142,2011
Department of Labor,0.0764,2011
Department of Labor,0.0964,2011
Department of Labor,0.137,2011
Department of Labor,0.151,2012
Department of Labor,0.951,2012
Department of Labor,1,2013
Department of Labor,7.335,2008
Department of Labor,1.64,2010
Department of Labor,0.66,2011
Department of Labor,1.19,2011
Department of Labor,1.04,2012
Department of Labor,1.04,2012
Department of Labor,0.02,2012
Department of Labor,0.02,2011
Department of Labor,0.03,2012
Department of Labor,0.03,2012
Department of Labor,1,2012
Department of Labor,0.962,2012
Department of Labor,0.254,2012
Department of Labor,0.369,2012
Department of Labor,1.295,2012
Department of Labor,0.98,2013
Department of Labor,0.116,2013
Department of Labor,0.175,2013
Department of Labor,1.32,2013
Department of Labor,3.769769,2011
Department of Labor,4.743254,2012
Department of Labor,1,2013
Department of Labor,2.405086,2009
Department of Labor,1.735,2009
Department of Labor,0.9,2012
Department of Labor,3.44282,2013
Department of Labor,4.60011,2014
Department of Labor,0.122891,2012
Department of Labor,0.519999,2012
Department of Labor,0.294937,2012
Department of Labor,0.111973,2012
Department of Labor,0.251938,2012
Department of Labor,0.349498,2012
Department of Labor,0.13518,2012
Department of Labor,0.135178,2012
Department of Labor,0.337949,2012
Department of Labor,0.122891,2012
Department of Labor,0.335911,2012
Department of Labor,1.0153,2012
Department of Labor,0.7807,2012
Department of Labor,0.05,2012
Department of Labor,1.0153,2013
Department of Labor,0.8307,2013
Department of Labor,0.41,2012
Department of Labor,0.319,2013
Department of Labor,81.477544,2005
Department of Labor,57.54402,2011
Department of Labor,2.486,2011
Department of Labor,0.18,2011
Department of Labor,7.0438,2012
Department of Labor,0.12,2013
Department of Labor,10.48,2014
Department of Labor,0.515,2012
Department of Labor,1.551,2013
Department of Labor,1.246,2012
Department of Labor,7.197,2011
Department of Labor,0.726,2013
Department of Labor,3.8,2013
Department of Labor,11.409,2011
Department of Labor,1.5,2014
Department of Labor,4.776,2011
Department of Labor,10.394,2011
Department of Labor,2.128,2013
Department of Labor,4.665,2010
Department of Labor,1.548,2011
Department of Labor,3.737,2010
Department of Labor,8.801,2010
Department of Labor,4.49,2010
Department of Labor,5.68,2011
Department of Labor,1.304,2012
Department of Labor,1.532,2011
Department of Labor,5.008,2011
Department of Labor,9.283,2012
Department of Labor,5.751,2010
Department of Labor,4.255,2010
Department of Labor,2.145869,2010
Department of Labor,3.159061,2010
Department of Labor,4.360624,2013
Department of Labor,5.007282,2014
Department of Labor,2.010908,2011
Department of Labor,1.598,2011
Department of Labor,18.14645,2010
Department of Labor,1,2010
Department of Labor,0.885,2010
Department of Labor,6,2011
Department of Labor,1.5,2011
Department of Labor,0.005,2012
Department of Labor,0.945,2014
Department of Labor,8.7585,2013
Department of Labor,3.715,2013
Department of Labor,0.47,2012
Department of Labor,7.16005,2012
Department of Labor,7.16005,2012
Department of State,3.289,2009
Department of State,17.617,2009
Department of State,19.901,2009
Department of State,5.964463,2011
Department of State,8.406375,2011
Department of State,5.608,2012
Department of State,4.101,2012
Department of State,3.9,2010
Department of State,4.434,2014
Department of State,3.47,2009
Department of State,3.012,2009
Department of State,1.149,2012
Department of State,2.347,2009
Department of State,6.199,2010
Department of State,2.009,2014
Department of State,3.197,2010
Department of State,22.832,2012
Department of State,22.882,2013
Department of State,1.513,2011
Department of State,1.157,2012
Department of State,60.767,2009
Department of State,25.65,2011
Department of State,60.767,2009
Department of State,25.65,2011
Department of State,1.7749,2011
Department of State,1.1033,2011
Department of State,2.2095,2012
Department of State,1.45873,2012
Department of State,3.971,2013
Department of State,1081.6,2013
Department of State,850.2,2013
Department of State,30.300401,2010
Department of State,486.827712,2011
Department of State,161.095904,2011
Department of State,37.450889,2011
Department of State,14.681373,2011
Department of State,38.923824,2011
Department of State,45.611,2011
Department of State,486.827712,2011
Department of State,161.095904,2011
Department of State,37.450889,2011
Department of State,14.681373,2011
Department of State,38.923824,2011
Department of State,45.611,2011
Department of State,486.827712,2011
Department of State,161.095904,2011
Department of State,37.450889,2011
Department of State,14.681373,2011
Department of State,38.923824,2011
Department of State,45.611,2011
Department of State,63.106,2008
Department of State,20.794,2005
Department of State,20.794,2008
Department of State,3.611,2007
Department of State,12.985,2005
Department of State,43.979,2008
Department of State,512.386885,2003
Department of State,22.945,2006
Department of State,17.32147,2008
Department of State,8.96,2007
Department of State,512.386885,2003
Department of State,22.945,2006
Department of State,17.32147,2008
Department of State,8.96,2007
Department of State,512.386885,2003
Department of State,22.945,2006
Department of State,17.32147,2008
Department of State,8.96,2007
Department of State,4.209145,2011
Department of State,7.48,2011
Department of State,161.913834,2011
Department of State,1.622,2011
Department of State,18.1588,2011
Department of State,4.495,2011
Department of State,39.174,2011
Department of State,19.983424,2011
Department of State,65.355075,2012
Department of State,19.9,2011
Department of State,34,2011
Department of State,21.255,2011
Department of State,38.05,2011
Department of State,28.255,2011
Department of State,36.6,2011
Department of State,389.552048,2011
Department of State,61.892378,2011
Department of State,16.003618,2011
Department of State,65.54206,2011
Department of State,53.8641,2011
Department of State,9.179704,2011
Department of State,22.906354,2011
Department of State,179.931034,2011
Department of State,10.690013,2011
Department of State,59.363643,2011
Department of State,71.390785,2011
Department of State,58.349,2011
Department of State,389.552048,2011
Department of State,61.892378,2011
Department of State,16.003618,2011
Department of State,65.54206,2011
Department of State,53.8641,2011
Department of State,18.359408,2011
Department of State,22.906354,2011
Department of State,179.931034,2011
Department of State,10.690013,2011
Department of State,59.363643,2011
Department of State,71.390785,2011
Department of State,58.349,2011
Department of State,2.470018,2012
Department of State,1.61445,2012
Department of State,22.896826,2012
Department of State,9.49485,2012
Department of State,8.8536,2011
Department of State,37.356263,2011
Department of State,17.32601,2011
Department of State,28.407031,2011
Department of State,21.607342,2011
Department of State,25.109167,2011
U.S. Agency for International Development,6.836,2013
U.S. Agency for International Development,0.025,2011
U.S. Agency for International Development,0.02,2011
U.S. Agency for International Development,0.036,2011
U.S. Agency for International Development,0.6,2013
U.S. Agency for International Development,0.33,2012
U.S. Agency for International Development,0.048,2012
U.S. Agency for International Development,0.035,2012
U.S. Agency for International Development,3.415895,2013
U.S. Agency for International Development,31.3,2011
U.S. Agency for International Development,1.445,2010
U.S. Agency for International Development,3.25,2012
U.S. Agency for International Development,6.975,2014
U.S. Agency for International Development,37.322552,2011
Department of Transportation,9.435291,2010
Department of Transportation,3.489873,2012
Department of Transportation,91.820781,2010
Department of Transportation,138.037932,2010
Department of Transportation,100.346276,2010
Department of Transportation,5.939663,2011
Department of Transportation,23.02861,2010
Department of Transportation,13.663148,2010
Department of Transportation,3.357427,2011
Department of Transportation,6.262588,2010
Department of Transportation,8.718683,2012
Department of Transportation,183.679374,2010
Department of Transportation,590.25108,2010
Department of Transportation,20.97,2005
Department of Transportation,0.6,2009
Department of Transportation,3.45,2010
Department of Transportation,1,2013
Department of Transportation,63.6,2013
Department of Transportation,1.027,2011
Department of Transportation,3.353,2011
Department of Transportation,5.2,2011
Department of Transportation,0.25,2013
Department of Transportation,1.81,2014
Department of Transportation,8,2011
Department of Transportation,28.088267,2012
Department of Transportation,13.1,2013
Department of Transportation,4.276,2007
Department of Transportation,6,2008
Department of Transportation,6.243,2010
Department of Transportation,2.39,2010
Department of Transportation,1.917,2010
Department of Transportation,37.289,2006
Department of Transportation,1,2011
Department of Transportation,1.273,2011
Department of Transportation,82.9,2013
Department of Transportation,10.233,2011
Department of Transportation,7,2009
Department of Transportation,20.08,2012
Department of Transportation,12.32,2010
Department of Transportation,9.68,2012
Department of Transportation,7.49,2010
Department of Transportation,10.66,2009
Department of Transportation,21.31,2010
Department of Transportation,1.603,2010
Department of Transportation,0.713,2013
Department of Transportation,1.33,2012
Department of Transportation,10.9,2013
Department of Transportation,6.2,2012
Department of Transportation,3.3,2013
Department of Transportation,11.454,2013
Department of Transportation,1.63,2014
Department of Transportation,32.4,2010
Department of Transportation,20.9,2008
Department of Transportation,46.2,2011
Department of Transportation,5.6,2011
Department of Transportation,2.2,2014
Department of Transportation,30,2013
Department of Transportation,13.2,2007
Department of Transportation,1.353684,2012
Department of Transportation,44.6,2011
Department of Transportation,2622.4,2002
Department of Transportation,7.416827,2012
Department of Transportation,7.148947,2010
Department of Transportation,2.475526,2011
Department of Transportation,5.36364,2012
Department of Transportation,5.36364,2012
Department of Transportation,5.36364,2013
Department of Transportation,5.36364,2013
Department of Transportation,5.36364,2014
Department of Transportation,23.55,2010
Department of Transportation,4.668,2010
Department of Transportation,5.13,2013
Department of Transportation,2.87,2011
Department of Transportation,0.791,2011
Department of Transportation,0.873,2012
Department of Transportation,0.59,2012
Department of Transportation,0.491,2012
Department of Transportation,7.473,2013
Department of Transportation,1.587,2011
Department of Transportation,6.245,2012
Department of Transportation,27.342,2010
Department of Transportation,5.879,2014
Department of Transportation,3.828,2015
Department of Transportation,0.4,2014
Department of Transportation,1.771,2013
Department of Transportation,1.794,2014
Department of Transportation,0.444,2014
Department of Transportation,1.249,2014
Department of Transportation,2.515,2013
Department of Transportation,13.907,2006
Department of Transportation,4.772,2009
Department of Transportation,1.238,2010
Department of Transportation,1.575,2010
Department of Transportation,10.094,2010
Department of Transportation,2.985,2011
Department of Transportation,6.194,2011
Department of Transportation,1.782,2013
Department of Transportation,7.466,2013
Department of Transportation,79.9,2011
Department of Transportation,168.3,2011
Department of Transportation,31.1,2009
Department of Transportation,3,2008
Department of Transportation,49.7,2009
Department of Transportation,38.4,2008
Department of Transportation,50.3,2011
Department of Transportation,11.075,2012
Department of Transportation,23.6,2011
Department of Transportation,7.6,2011
Department of Transportation,4.8,2014
Department of Transportation,9.955,2007
Department of Transportation,11.497,2007
Department of Transportation,9.326,2006
Department of Transportation,8.547,2008
Department of Transportation,12.93,2008
Department of Transportation,11.168,2007
Department of Transportation,5.601,2008
Department of Transportation,6.648,2008
Department of Transportation,8.196,2008
Department of Transportation,17.719,2008
Department of Transportation,8.125,2008
Department of Transportation,9.691,2008
Department of Transportation,12.653,2008
Department of Transportation,11.069,2008
Department of Transportation,9.846,2008
Department of Transportation,9.894,2008
Department of Transportation,10.708,2008
Department of Transportation,11.279,2008
Department of Transportation,16.549,2008
Department of Transportation,10.403,2008
Department of Transportation,7.51,2008
Department of Transportation,11.435,2008
Department of Transportation,19.611,2009
Department of Transportation,20.493001,2013
Department of Transportation,16.871602,2014
Department of Transportation,14.848847,2014
Department of Transportation,19.781423,2012
Department of Transportation,5.654276,2011
Department of Transportation,17.32905,2012
Department of Transportation,131.924302,2012
Department of Transportation,3.135645,2012
Department of Transportation,5.703087,2012
Department of Transportation,0.55,2012
Department of Transportation,23.86,2013
Department of Transportation,29.69,2014
Department of Transportation,17.4877,2011
Department of Transportation,7.9923,2015
Department of Transportation,0.310779,2012
Department of Transportation,1.0E-6,2011
Department of Transportation,3.0E-6,2013
Department of Transportation,1.2,2010
Department of Transportation,5.000001,2011
Department of Transportation,3.0E-6,2013
Department of Transportation,6.871,2010
Department of Transportation,3.0E-6,2010
Department of Transportation,5.04755,2012
Department of Transportation,3.0E-6,2013
Department of Transportation,0.21,2011
Department of Transportation,0.586001,2013
Department of Transportation,2.0E-6,2011
Department of Transportation,0.12,2011
Department of Transportation,2.0E-6,2011
Department of Transportation,2.0E-6,2012
Department of Transportation,0.009104,2012
Department of Transportation,0.25,2011
Department of Transportation,0.05,2012
Department of Transportation,2.0E-6,2013
Department of Transportation,0.813,2011
Department of Transportation,4.74,2012
Department of Transportation,95.77,2000
Department of Transportation,24.511002,2013
Department of Transportation,16.179001,2014
Department of Transportation,34.224734,2010
Department of Transportation,2.505128,2010
Department of Transportation,22.186346,2010
Department of Transportation,12.789407,2010
Department of Transportation,3.092484,2010
Department of Transportation,2,2010
Department of Transportation,26.809774,2010
Department of Transportation,2.5719,2011
Department of Transportation,7.254988,2010
Department of Transportation,5.44,2011
Department of Transportation,19.257812,2010
Department of Transportation,6.7945,2010
Department of Transportation,50.792824,2010
Department of Transportation,3.6,2011
Department of Transportation,15.408625,2010
Department of Transportation,9.800947,2010
Department of Transportation,8.566931,2010
Department of Transportation,4.09316,2010
Department of Transportation,9.019765,2010
Department of Transportation,7.747247,2010
Department of Transportation,4,2011
Department of Transportation,5.4,2014
Department of Transportation,16.579354,2010
Department of Transportation,17.731813,2010
Department of Transportation,28.520929,2010
Department of Transportation,13.310274,2010
Department of Transportation,31.520002,2010
Department of Transportation,17.9991,2010
Department of Transportation,4.484274,2010
Department of Transportation,77.425843,2010
Department of Transportation,8.226453,2014
Department of Transportation,2.188114,2012
Department of Transportation,4.281354,2012
Department of Transportation,12.814223,2013
Department of Transportation,5.286612,2012
Department of Transportation,13.885474,2010
Department of Transportation,64.55489,2010
Department of Transportation,13.55,2011
Department of Transportation,71.5,2014
Department of Transportation,2.5,2011
Department of Transportation,3,2011
Department of Transportation,22.376197,2012
Department of Transportation,5.762,2013
Department of Transportation,8.894,2013
Department of Transportation,9,2013
Department of Transportation,18.042,2014
Department of Transportation,15.89,2014
Department of Transportation,23.375,2010
Department of Transportation,2.4,2011
Department of Transportation,16.7,2014
Department of Transportation,4.331174,2010
Department of Transportation,1.328109,2011
Department of Transportation,14.346522,2011
Department of Transportation,26.681201,2013
Department of Transportation,0.68,2013
Department of Transportation,4.9,2014
Department of Transportation,4.295,2014
Department of Transportation,4.5,2012
Department of Transportation,1.57,2013
Department of Transportation,6,2011
Department of Transportation,0.86,2011
Department of Transportation,0.35754,2011
Department of Transportation,1.45584,2010
Department of Transportation,0.497,2012
Department of Transportation,0.224,2012
Department of Transportation,0.12,2012
Department of Transportation,1.6,2013
Department of Transportation,0.053,2011
Department of Transportation,417.5,2011
Department of Transportation,428,2010
Department of Transportation,530.69,2011
Department of Transportation,3.326,2013
Department of Transportation,6.21,2011
Department of Transportation,3.641,2012
Department of Transportation,4.568,2013
Department of Transportation,32.67,2012
Department of Transportation,11.2,2009
Department of Transportation,8.402,2011
Department of Transportation,15.88931,2010
Department of Transportation,16.55073,2011
Department of Transportation,17.686,2014
Department of Transportation,17.686,2012
Department of Transportation,37.49613,2012
Department of Transportation,33.98185,2013
Department of Transportation,10.324,2013
Department of Transportation,2.409375,2014
Department of Transportation,97.6,2014
Department of Transportation,0.325,2012
Department of Transportation,18.5,2012
Department of Transportation,7.9,2012
Department of Transportation,7.5,2009
Department of Transportation,1.1,2014
Department of Transportation,1,2012
Department of Transportation,0.8,2013
Department of Transportation,0.4,2013
Department of Transportation,1.5,2014
Department of Transportation,1.2,2014
Department of Transportation,2.160365,2013
Department of Transportation,3.0671,2014
Department of Transportation,4.75345,2014
Department of the Treasury,20.87,2012
Department of the Treasury,14.963317,2013
Department of the Treasury,73.582,1998
Department of the Treasury,41.737,2010
Department of the Treasury,12,2011
Department of the Treasury,66.263938,2011
Department of the Treasury,59.886645,2011
Department of the Treasury,2.59167,2012
Department of the Treasury,403.672,2009
Department of the Treasury,31.54,2013
Department of the Treasury,227.47,2010
Department of the Treasury,67.9,2013
Department of the Treasury,21.5,2013
Department of the Treasury,2.48,2012
Department of the Treasury,2.443,2013
Department of the Treasury,0.978,2013
Department of the Treasury,1.252,2013
Department of the Treasury,5.117,2011
Department of the Treasury,3.06,2011
Department of the Treasury,6.866,2011
Department of the Treasury,9.707,2009
Department of the Treasury,4.737,2011
Department of the Treasury,8.314,2012
Department of the Treasury,8.11,2012
Department of the Treasury,0.2,2012
Department of the Treasury,0.668621,2013
Department of the Treasury,2,2013
Department of the Treasury,8.798,2012
Department of the Treasury,5.178,2012
Department of the Treasury,1.661,2012
Department of the Treasury,5.410863,2014
Department of the Treasury,1.719972,2014
Department of the Treasury,5.173063,2013
Department of the Treasury,1.657237,2013
Department of the Treasury,1.926,2008
Department of the Treasury,2.82,2008
Department of the Treasury,0.1,2011
Department of the Treasury,0.1,2011
Department of the Treasury,1.253,2013
Department of the Treasury,0.242,2014
Department of the Treasury,18.8,2011
Department of the Treasury,1.925,2012
Department of the Treasury,0.84,2012
Department of the Treasury,3.095,2012
Department of the Treasury,1.899,2012
Department of the Treasury,0.429,2012
Department of the Treasury,0.98484,2013
Department of the Treasury,1.094267,2013
Department of the Treasury,2.553289,2014
Department of the Treasury,1.089368,2012
Department of the Treasury,1.15,2012
Department of the Treasury,1.984333,2013
Department of the Treasury,0.759818,2013
Department of the Treasury,1.8,2013
Department of the Treasury,9.818451,2013
Department of the Treasury,0.95,2012
Department of the Treasury,0.62,2013
Department of the Treasury,0.27,2012
Department of the Treasury,0.62,2014
Department of the Treasury,0.25,2013
Department of the Treasury,41.36,2011
Department of the Treasury,46.21,2011
Department of the Treasury,76.411,2011
Department of the Treasury,1,2012
Department of the Treasury,19.483634,2014
Department of the Treasury,34,2012
Department of the Treasury,49.79,2013
Department of the Treasury,57.29,2012
Department of the Treasury,9.24,2015
Department of the Treasury,3.731416,2012
Department of the Treasury,3.990648,2011
Department of the Treasury,3.538811,2012
Department of the Treasury,4.590668,2013
Department of the Treasury,2.435226,2012
Department of the Treasury,2.976311,2013
Department of the Treasury,3.194705,2013
Department of the Treasury,3.332663,2014
Department of the Treasury,0.25,2013
Department of the Treasury,5.281524,2014
Department of the Treasury,3.33371,2012
Department of the Treasury,2.861306,2011
Department of the Treasury,16.86,2013
Department of the Treasury,0.991217,2013
Department of the Treasury,4.143172,2014
Department of the Treasury,89.497331,2010
Department of the Treasury,57.16269,2011
Department of the Treasury,1.927104,2012
Department of the Treasury,1.927104,2012
Department of the Treasury,2.869245,2013
Department of the Treasury,2.869245,2013
Department of the Treasury,15.85,2012
Department of the Treasury,4.15,2012
Department of the Treasury,5.159,2013
Department of the Treasury,10.354,2014
Department of the Treasury,13.245,2013
Department of the Treasury,12.656,2012
Department of the Treasury,10.73,2013
Department of the Treasury,4.096,2012
Department of the Treasury,5.770336,2013
Department of the Treasury,4.119,2012
Department of the Treasury,0.79,2012
Department of the Treasury,0.958,2012
Department of the Treasury,0.575,2012
Department of the Treasury,7.775,2012
Department of the Treasury,3.199,2013
Department of the Treasury,3.183,2014
Department of the Treasury,1.576,2013
Department of the Treasury,3.682,2012
Department of the Treasury,2.902,2012
Department of the Treasury,4.428,2012
Department of the Treasury,0.278,2012
Department of the Treasury,1.023,2013
Department of the Treasury,1.999,2013
Department of the Treasury,6.979,2013
Department of the Treasury,0.857,2013
Department of the Treasury,3.958765,2013
Department of the Treasury,9.983151,2013
Department of the Treasury,2.255253,2012
Department of the Treasury,2.094166,2013
Department of the Treasury,1.201694,2012
Department of the Treasury,5.171101,2013
Department of the Treasury,1.27646,2014
Department of the Treasury,3.00381,2014
Department of the Treasury,10.691973,2014
Department of the Treasury,3.305655,2014
Department of the Treasury,3.941714,2014
Department of the Treasury,0.315,2013
Department of the Treasury,1.45,2012
Department of the Treasury,0.274105,2013
Department of the Treasury,0.99674,2013
Department of the Treasury,0.74756,2013
Department of the Treasury,0.5,2012
Department of the Treasury,0.2,2013
Department of the Treasury,1.9115,2013
Department of the Treasury,0.654,2013
Department of the Treasury,2.074,2012
Department of the Treasury,5.102,2012
Department of the Treasury,2.25,2013
Department of the Treasury,1.963,2013
Department of the Treasury,0.275,2013
Department of the Treasury,0.75,2013
Department of the Treasury,1.46,2013
Department of the Treasury,0.92,2013
Department of the Treasury,1.35,2013
Department of the Treasury,0.76,2013
Department of the Treasury,6.028282,2012
Department of the Treasury,3.812,2012
Department of the Treasury,6.5,2010
Department of the Treasury,2.166,2013
Department of the Treasury,38.7,2014
Department of the Treasury,18.08,2011
Department of the Treasury,11,2009
Department of the Treasury,5.6,2013
Department of the Treasury,100,2010
Department of the Treasury,0.04,2012
Department of the Treasury,0.04,2012
Department of the Treasury,8.626,2014
Department of the Treasury,2.681,2011
Department of the Treasury,1.0143,2012
Department of the Treasury,3.978859,2013
Department of the Treasury,2.856,2011
Department of the Treasury,1.3799,2011
Department of the Treasury,0.001,2011
Department of the Treasury,0.8347,2012
Department of the Treasury,1.9143,2013
Department of the Treasury,3.74014,2011
Department of the Treasury,7.13166,2012
Department of the Treasury,0.413,2013
Department of the Treasury,0.70842,2013
Department of the Treasury,0.409,2013
Department of the Treasury,0.487,2014
Department of the Treasury,0.658,2014
Department of the Treasury,1.948,2014
Department of the Treasury,0.65,2014
Department of the Treasury,0.483,2014
Department of the Treasury,2.104328,2014
Department of the Treasury,3.148188,2014
Department of the Treasury,0.290473,2014
Department of the Treasury,18.140098,2014
Department of the Treasury,2.280703,2014
Department of the Treasury,14.43,2013
Department of the Treasury,8.021,2014
Department of the Treasury,2.627,2013
Department of the Treasury,1.5,2013
Department of the Treasury,6.603156,2014
Department of the Treasury,0.455,2013
Department of the Treasury,0.843,2012
Department of the Treasury,1.139,2013
Department of the Treasury,0.435,2013
Department of the Treasury,0.144,2013
Department of the Treasury,2.269,2013
Department of the Treasury,0.5026,2012
Department of the Treasury,1.7578,2013
Department of the Treasury,0.5443,2013
Department of the Treasury,0.6194,2013
Department of the Treasury,0.6194,2013
Department of the Treasury,0.878,2014
Department of the Treasury,1.4367,2014
Department of the Treasury,0.30635,2014
Department of the Treasury,15.187,2013
Department of the Treasury,26.368,2013
Department of the Treasury,1.56,2013
Department of the Treasury,2.51,2012
Department of Veterans Affairs,6.679,2013
Department of Veterans Affairs,47.256105,2011
Department of Veterans Affairs,18.201,2010
Department of Veterans Affairs,3.582984,2012
Department of Veterans Affairs,114.572699,2009
Department of Veterans Affairs,6.912184,2010
Department of Veterans Affairs,46.026,2010
Department of Veterans Affairs,11.356,2010
Department of Veterans Affairs,24.634,2010
Department of Veterans Affairs,6.65958,2010
Department of Veterans Affairs,28.349266,2010
Department of Veterans Affairs,11.996822,2012
Department of Veterans Affairs,39.876,2010
Department of Veterans Affairs,32.793,2010
Department of Veterans Affairs,14.268218,2010
Department of Veterans Affairs,20.68,2011
